 Diffraction intensities for potential:3x3MoS210001.in                         
#     -3    -9       1.5502612774E-003
#     -3    -8       4.7805273965E-004
#     -3    -7       7.1572190635E-005
#     -3    -6       1.2253144391E-002
#     -3    -5       5.4943972233E-004
#     -3    -4       1.4948243044E-003
#     -3    -3       1.5736119630E-002
#     -3    -2       7.3756694163E-004
#     -3    -1       4.4113294294E-005
#     -3     0       1.0340614494E-002
#     -3     1       1.0394491092E-003
#     -3     2       1.7128247319E-003
#     -3     3       1.1226216371E-003
#     -3     4       7.5478122912E-005
#     -3     5       1.9171761516E-003
#     -3     6       5.2700754406E-002
#     -3     7       2.8822250522E-003
#     -3     8       6.8096800854E-005
#     -3     9       2.1864607902E-002
#     -2   -16       1.6234116675E-004
#     -2   -15       5.9324023309E-004
#     -2   -14       2.1532066029E-004
#     -2   -13       1.5628391426E-004
#     -2   -12       2.9362042977E-004
#     -2   -11       1.3764900710E-004
#     -2   -10       3.7126301573E-004
#     -2    -9       7.0459670632E-004
#     -2    -8       2.1841378941E-004
#     -2    -7       3.9134431418E-004
#     -2    -6       9.5855658473E-004
#     -2    -5       6.4320454549E-004
#     -2    -4       1.0667926101E-003
#     -2    -3       3.1246560800E-004
#     -2    -2       5.0485053028E-004
#     -2    -1       1.0394821465E-003
#     -2     0       2.8832725827E-004
#     -2     1       3.9558256863E-005
#     -2     2       3.8660317643E-004
#     -2     3       4.3717456584E-004
#     -2     4       1.2263774584E-003
#     -2     5       1.8854592425E-003
#     -2     6       2.0587931998E-003
#     -2     7       7.8543316026E-004
#     -2     8       1.8724099773E-004
#     -1   -16       9.5578184609E-005
#     -1   -15       1.1160366768E-004
#     -1   -14       3.3613148159E-004
#     -1   -13       2.1276619388E-004
#     -1   -12       8.0279130143E-005
#     -1   -11       3.7319467778E-004
#     -1   -10       2.9274320906E-004
#     -1    -9       1.8874543408E-004
#     -1    -8       2.0092637069E-004
#     -1    -7       6.6299223339E-004
#     -1    -6       8.8690969302E-004
#     -1    -5       8.1631574407E-004
#     -1    -4       2.0754882403E-004
#     -1    -3       8.6064880049E-004
#     -1    -2       1.7129551228E-003
#     -1    -1       3.9569189893E-005
#     -1     0       1.0326535548E-003
#     -1     1       1.4289547575E-003
#     -1     2       3.2294122773E-004
#     -1     3       8.0954231532E-004
#     -1     4       3.3526373967E-004
#     -1     5       5.5209758273E-004
#     -1     6       1.9244751993E-003
#     -1     7       9.1788659828E-004
#      0   -16       2.5008418182E-004
#      0   -15       3.6453908819E-004
#      0   -14       4.2312019724E-004
#      0   -13       4.6568929974E-004
#      0   -12       1.7394907137E-003
#      0   -11       7.2241744801E-005
#      0   -10       1.7071233928E-004
#      0    -9       1.5034165548E-002
#      0    -8       3.2888411627E-004
#      0    -7       5.1213052303E-004
#      0    -6       1.4895393438E-002
#      0    -5       1.4700951692E-004
#      0    -4       7.4254892080E-004
#      0    -3       1.1224299057E-003
#      0    -2       3.8671448317E-004
#      0    -1       1.4288252324E-003
#      0     0       3.7636251531E-002
#      0     1       4.1395526729E-003
#      0     2       4.5122877364E-004
#      0     3       7.8150300605E-003
#      0     4       1.1653593023E-003
#      0     5       2.0128758165E-004
#      0     6       1.3852271132E-002
#      1   -16       2.0534203856E-004
#      1   -15       4.1477872919E-004
#      1   -14       8.7718606270E-004
#      1   -13       2.4370243424E-004
#      1   -12       2.1243392939E-004
#      1   -11       1.7004090811E-004
#      1   -10       3.5934191285E-004
#      1    -9       8.5709992136E-004
#      1    -8       1.1363540139E-003
#      1    -7       3.7732134509E-004
#      1    -6       5.2324849665E-004
#      1    -5       1.7833003811E-004
#      1    -4       7.5495917577E-005
